web-scraper-order,web-scraper-start-url,name,price,information
"1534253250-45","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Mandarina Colombo","$78","Mandarina Colombo‎NewColombo, 2.4 miles to City center8.3Very good (155 reviews)Extremely clean (8.7 / 10)"
"1534253250-31","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Hilton Colombo","$140","Hilton ColomboColombo, 0.2 miles to City center8.0Very good (1206 reviews)Excellent location (8.7 / 10)"
"1534253250-50","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ranveli Beach Resort","$37","Ranveli Beach ResortResortColombo, right by the beach6.4 (247 reviews)Very good rooms (8.2 / 10)"
"1534253250-46","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sapphire Colombo","$70","Sapphire ColomboColombo, 4.5 miles to City center7.3 (108 reviews)Very good service (8 / 10)"
"1534253250-44","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Highbury Colombo","$45","Highbury ColomboColombo, 3.5 miles to City center8.1Very good (291 reviews)Excellent service (8.5 / 10)"
"1534253250-29","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Cinnamon Red Colombo","$85","Cinnamon Red ColomboColombo, 1.6 miles to City center8.7Excellent (1062 reviews)Extremely clean (9.2 / 10)"
"1534253250-49","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nippon","$57","NipponColombo, 0.7 miles to City center7.3 (30 reviews)Good location (7.8 / 10)"
"1534253250-32","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Shangri-La Hotel, Colombo","$180","Shangri-La Hotel, Colombo‎NewColombo, 0.9 miles to City center8.5Excellent (58 reviews)Extremely clean (9.3 / 10)"
"1534253250-38","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Colpetty House","$50","Colpetty HouseB&BColombo, 2.2 miles to City center7.5Good (31 reviews)Excellent service (8.7 / 10)"
"1534253250-27","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-23&aDateRange%5Bdep%5D=2018-08-24&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Cinnamon Grand Colombo","$136","Cinnamon Grand ColomboColombo, 1.1 miles to City center8.4Very good (2568 reviews)Extremely clean (8.6 / 10)"
