web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536677701-971","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Dilsara Holiday Resort","Dilsara Holiday ResortHouse / Apartment","House / Apartment","House / Apartment","$34","Anuradhapura, 20.4 miles to City center","8.0","Very good"
"1536677701-978","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Triangle","TriangleHotel","Hotel","Hotel","$27","Anuradhapura, 3.3 miles to City center","7.4","(22 reviews)"
"1536677701-973","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nelum Villa","Nelum VillaHouse / Apartment","House / Apartment","House / Apartment","$20","Anuradhapura, 1.9 miles to City center","8.3","Very good"
"1536677701-959","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Rajarata","Rajarata4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$59","Anuradhapura, 1.1 miles to City center","7.7","Good"
"1536677701-979","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Mahoora Tented Safari Camp - Wilpattu","Mahoora Tented Safari Camp - Wilpattu5 stars - Camping site","5 stars - Camping site","5 stars - Camping site","$430","Anuradhapura, 18.6 miles to City center","7.5","Good"
"1536677701-969","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","London Palace","London PalaceHouse / Apartment","House / Apartment","House / Apartment","$35","Anuradhapura, 0.1 miles to City center","8.0","Very good"
"1536677701-980","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Indika Lake Resort","Indika Lake ResortResort","Resort","Resort","$42","Anuradhapura, 3.2 miles to City center","7.8","Good"
"1536677701-972","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Cottage Tourist Rest Anuradhapura","Cottage Tourist Rest AnuradhapuraB&B","B&B","B&B","$20","Anuradhapura, 1.2 miles to City center","7.5","Good"
"1536677701-963","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Big Game Camp - Wilpattu","Big Game Camp - WilpattuHotel","Hotel","Hotel","$52","Anuradhapura, 19.3 miles to City center","8.3","Very good"
"1536677701-983","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=310&aGeoCode%5Blat%5D=8.314813&aGeoCode%5Blng%5D=80.414932&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","A4 Villa","A4 VillaHouse / Apartment","House / Apartment","House / Apartment","$27","Anuradhapura, 30.3 miles to City center","8.0","Very good"
