web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536679019-2586","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Tea Forest Lodge","Tea Forest LodgePension","Pension","Pension","$50","Badulla, 7.6 miles to City center","8.3","Very good"
"1536679019-2594","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Uva Rest Sanasta","Uva Rest SanastaHotel","Hotel","Hotel","$33","Badulla, 1.6 miles to City center","7.1","(33 reviews)"
"1536679019-2609","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Rawana Fall View Guest House","Rawana Fall View Guest HouseHouse / Apartment","House / Apartment","House / Apartment","$45","Badulla, 8.1 miles to City center","8.0","Very good"
"1536679019-2577","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ella Nature View","Ella Nature ViewHotel","Hotel","Hotel","$28","Badulla, 8.0 miles to City center","8.3","Very good"
"1536679019-2588","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Morning Dew","Morning DewPension","Pension","Pension","$101","Badulla, 7.8 miles to City center","8.3","Very good"
"1536679019-2617","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Tenth","The TenthHouse / Apartment","House / Apartment","House / Apartment","$58","Badulla, 7.9 miles to City center","7.8","Good"
"1536679019-2590","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nine Arch Lodge Ella","Nine Arch Lodge EllaHotel","Hotel","Hotel","$20","Badulla, 7.6 miles to City center","8.1","Very good"
"1536679019-2621","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Lucky Star Ella","Lucky Star EllaHouse / Apartment","House / Apartment","House / Apartment","$21","Badulla, 8.0 miles to City center","8.7","Excellent"
"1536679019-2631","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Yoho Ella Moonshine","Yoho Ella MoonshineHouse / Apartment","House / Apartment","House / Apartment","$17","Badulla, 7.8 miles to City center","/","null"
"1536679019-2582","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Zion View Ella","Zion View EllaHouse / Apartment","House / Apartment","House / Apartment","$119","Badulla, 7.8 miles to City center","8.7","Excellent"
"1536679019-2629","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=344&aGeoCode%5Blat%5D=6.984682&aGeoCode%5Blng%5D=81.056473&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Pepper Garden House & Restaurant","Pepper Garden House & RestaurantHouse / Apartment","House / Apartment","House / Apartment","$15","Badulla, 18.5 miles to City center","/","null"
