web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536679327-2666","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ceylon Tea Bungalows Bandarawela","Ceylon Tea Bungalows BandarawelaHouse / Apartment","House / Apartment","House / Apartment","$72","Bandarawela, 5.5 miles to City center","8.5","Excellent"
"1536679327-2722","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Green View - Family Home","Green View - Family HomeHouse / Apartment","House / Apartment","House / Apartment","$112","Bandarawela, 3.5 miles to City center","/","null"
"1536679327-2674","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Bandarawela","Bandarawela2 stars - Hotel","2 stars - Hotel","2 stars - Hotel","$85","Bandarawela, 0.7 miles to City center","7.6","Good"
"1536679327-2703","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Bandarawela Holiday Home","Bandarawela Holiday HomeHouse / Apartment","House / Apartment","House / Apartment","$97","Bandarawela, 73.0 miles to City center","/","null"
"1536679327-2763","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Hamadhi Guest","Hamadhi GuestPension","Pension","Pension","$54","Bandarawela, 11.6 miles to City center","/","null"
"1536679327-2677","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Train View Chalet","Train View ChaletHouse / Apartment","House / Apartment","House / Apartment","$270","Bandarawela, 0.7 miles to City center","/","null"
"1536679327-2762","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Serandib Hill","Serandib HillHotel","Hotel","Hotel","$25","Bandarawela, 1.1 miles to City center","/","null"
"1536679327-2694","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Club Doonvale","Club DoonvaleHouse / Apartment","House / Apartment","House / Apartment","$110","Bandarawela, 0.5 miles to City center","/","null"
"1536679327-2673","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Bawa","BawaHotel","Hotel","Hotel","$8","Bandarawela, 5.7 miles to City center","8.0","Very good"
"1536679327-2715","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=73748&aGeoCode%5Blat%5D=6.825878&aGeoCode%5Blng%5D=80.998161&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=7374803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Holiday Bungalow","Holiday BungalowHouse / Apartment","House / Apartment","House / Apartment","$75","Bandarawela, 0.5 miles to City center","/","null"
