web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536683886-4705","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sri Lanka Holiday Home","Sri Lanka Holiday HomeHouse / Apartment","House / Apartment","House / Apartment","$33","Batticalao, 1.9 miles to City center","/","null"
"1536683886-4696","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Coop Inn Guesthouse","Coop Inn GuesthousePension","Pension","Pension","$22","Batticalao, 0.7 miles to City center","/","null"
"1536683886-4718","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","New Land Guest House","New Land Guest HousePension","Pension","Pension","$12","Batticalao, 0.0 miles to City center","/","null"
"1536683886-4704","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Soul Connection","Soul ConnectionHotel","Hotel","Hotel","$12","Batticalao, 2.1 miles to City center","/","null"
"1536683886-4719","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Terrel - Ampara","Terrel - AmparaHotel","Hotel","Hotel","$50","Batticalao, 47.2 miles to City center","/","null"
"1536683886-4692","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Hamsaam Villa","Hamsaam VillaHotel","Hotel","Hotel","$13","Batticalao, 1.4 miles to City center","/","null"
"1536683886-4683","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","East Lagoon","East Lagoon2 stars - Hotel‎Top ratedThis is the top rated 2-star hotel in Batticalao","2 stars - Hotel‎Top ratedThis is the top rated 2-star hotel in Batticalao","2 stars - Hotel‎Top ratedThis is the top rated 2-star hotel in Batticalao","$46","Batticalao, 1.2 miles to City center","7.9","Good"
"1536683886-4701","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","City Lagoon Guest House Batticaloa","City Lagoon Guest House BatticaloaPension","Pension","Pension","$68","Batticalao, 1.3 miles to City center","/","null"
"1536683886-4707","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Pooja Lake Queen Inn","Pooja Lake Queen InnHouse / Apartment","House / Apartment","House / Apartment","$55","Batticalao, 2.5 miles to City center","/","null"
"1536683886-4682","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Riviera Resort","Riviera ResortHotel","Hotel","Hotel","$19","Batticalao, 0.6 miles to City center","7.8","Good"
"1536683886-4716","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Yuhibuhi Forest Resort","Yuhibuhi Forest ResortResort","Resort","Resort","$43","Batticalao, 19.9 miles to City center","/","null"
"1536683886-4687","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Uga Bay by Uga Escapes","Uga Bay by Uga Escapes5 stars - Resort‎Top ratedThis is the top rated 5-star hotel in Batticalao","5 stars - Resort‎Top ratedThis is the top rated 5-star hotel in Batticalao","5 stars - Resort‎Top ratedThis is the top rated 5-star hotel in Batticalao","$205","Batticalao, 17.3 miles to City center","8.7","Excellent"
"1536683886-4688","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sun Aqua Pasikudah","Sun Aqua PasikudahHotel","Hotel","Hotel","$118","Batticalao, 17.5 miles to City center","8.5","Excellent"
"1536683886-4699","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=315&aGeoCode%5Blat%5D=7.7121&aGeoCode%5Blng%5D=81.707802&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31503%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sunny Fish  & Resort","Sunny Fish  & ResortResort","Resort","Resort","$35","Batticalao, 0.9 miles to City center","/","null"
