web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536683210-4504","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Selnara Private Luxury Villa","Selnara Private Luxury VillaHouse / Apartment","House / Apartment","House / Apartment","$50","Bentota, 2.2 miles to City center","/","null"
"1536683210-4454","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Luthmin River View","Luthmin River ViewHotel","Hotel","Hotel","$11","Bentota, 0.6 miles to City center","/","null"
"1536683210-4440","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Vista Rooms Wunderbar","Vista Rooms WunderbarHotel","Hotel","Hotel","$50","Bentota, 0.6 miles to City center","/","null"
"1536683210-4387","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Chitra Ayurveda Hotel","Chitra Ayurveda HotelHotel","Hotel","Hotel","$49","Bentota, 0.2 miles to City center","8.4","Very good"
"1536683210-4360","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Vivanta by Taj Bentota","Vivanta by Taj Bentota5 stars - Hotel‎Top ratedThis is the top rated 5-star hotel in Bentota","5 stars - Hotel‎Top ratedThis is the top rated 5-star hotel in Bentota","5 stars - Hotel‎Top ratedThis is the top rated 5-star hotel in Bentota","$110","Bentota, 0.3 miles to City center","8.4","Very good"
"1536683210-4494","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Yellow Elefant Riverside","Yellow Elefant RiversideHotel","Hotel","Hotel","$153","Bentota, 1.7 miles to City center","/","null"
"1536683210-4447","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Okay Goldi Guest House","Okay Goldi Guest HouseHotel","Hotel","Hotel","$13","Bentota, 0.2 miles to City center","/","null"
"1536683210-4374","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Marina Bentota","Marina Bentota3 stars - Hotel","3 stars - Hotel","3 stars - Hotel","$74","Bentota, 0.7 miles to City center","7.4","(24 reviews)"
"1536683210-4471","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Taru Villas - The Long House","Taru Villas - The Long HouseHouse / Apartment","House / Apartment","House / Apartment","$322","Bentota, 0.6 miles to City center","/","null"
"1536683210-4488","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=348&aGeoCode%5Blat%5D=6.42&aGeoCode%5Blng%5D=80&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Siluni Homes","Siluni HomesHotel","Hotel","Hotel","$20","Bentota, 1.2 miles to City center","/","null"
