web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536676313-159","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Colombo Court","Colombo CourtHotel","Hotel","Hotel","$88","Colombo, 2.5 miles to City center","8.5","Excellent"
"1536676313-343","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Colombo Residence","Colombo ResidenceHotel","Hotel","Hotel","$164","Colombo, 3.1 miles to City center","/","null"
"1536676313-310","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Seecor House","Seecor HouseHouse / Apartment","House / Apartment","House / Apartment","$130","Colombo, 10.1 miles to City center","/","null"
"1536676313-535","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Siebel Court","Siebel CourtHouse / Apartment","House / Apartment","House / Apartment","$25","Colombo, 4.5 miles to City center","/","null"
"1536676313-474","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","24 Homestay","24 HomestayHotel","Hotel","Hotel","$60","Colombo, 3.4 miles to City center","/","null"
"1536676313-300","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Villa Sanara Uswetakeyyawa Beach","Villa Sanara Uswetakeyyawa BeachHotel","Hotel","Hotel","$200","Colombo, 8.1 miles to City center","/","null"
"1536676313-305","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Parisare","ParisareHotel","Hotel","Hotel","$32","Colombo, 2.2 miles to City center","/","null"
"1536676313-265","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Frangipani","FrangipaniHotel","Hotel","Hotel","$31","Colombo, 6.2 miles to City center","8.6","Excellent"
"1536676313-302","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Yoho Pirivena Road","Yoho Pirivena RoadHouse / Apartment","House / Apartment","House / Apartment","$40","Colombo, 7.6 miles to City center","/","null"
"1536676313-430","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nelly Marine","Nelly MarineHotel","Hotel","Hotel","$54","Colombo, 0.2 miles away from the beach","/","null"
"1536676313-389","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Marina Bay Apartments","Marina Bay ApartmentsHouse / Apartment","House / Apartment","House / Apartment","$42","Colombo, 1.9 miles to City center","/","null"
