web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536682824-3991","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Heritance Kandalama","Heritance Kandalama5 stars - Hotel‎Top ratedThis is the top rated 5-star hotel in Dambulla","5 stars - Hotel‎Top ratedThis is the top rated 5-star hotel in Dambulla","5 stars - Hotel‎Top ratedThis is the top rated 5-star hotel in Dambulla","$123","Dambulla, 0.5 miles to City center","8.7","Excellent"
"1536682824-4034","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Blue Water Lily","Blue Water LilyHotel","Hotel","Hotel","$15","Dambulla, 0.6 miles to City center","8.0","Very good"
"1536682824-4027","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sandra","SandraPension","Pension","Pension","$20","Dambulla, 0.0 miles to City center","8.6","Excellent"
"1536682824-4095","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Niyagala Lodge","Niyagala LodgeHouse / Apartment","House / Apartment","House / Apartment","$13","Dambulla, 8.2 miles to City center","/","null"
"1536682824-4081","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sakura Inn","Sakura InnPension","Pension","Pension","$13","Dambulla, 2.4 miles to City center","/","null"
"1536682824-4054","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Eagles Wings Guest House","Eagles Wings Guest HousePension","Pension","Pension","$30","Dambulla, 14.5 miles to City center","8.0","Very good"
"1536682824-4044","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Dambulu Oya Family Park","Dambulu Oya Family ParkHotel","Hotel","Hotel","$44","Dambulla, 3.2 miles to City center","8.0","Very good"
"1536682824-4033","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Oasis Tourist Welfare Center","Oasis Tourist Welfare CenterHotel","Hotel","Hotel","$6","Dambulla, 0.3 miles to City center","8.0","Very good"
"1536682824-3996","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sundaras Resort","Sundaras Resort4 stars - Resort","4 stars - Resort","4 stars - Resort","$30","Dambulla, 0.2 miles to City center","7.2","(737 reviews)"
"1536682824-4068","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=102548&aGeoCode%5Blat%5D=7.851249&aGeoCode%5Blng%5D=80.654228&iGeoDistanceItem=0&aSortingOrderBoosting%5B%5D=distance&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=10254803%2C251100&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Lake Holiday Resort","Lake Holiday ResortResort","Resort","Resort","$35","Dambulla, 1.6 miles to City center","/","null"
