web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536677626-858","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Khalid's","Khalid'sB&B","B&B","B&B","$63","Galle, 0.2 miles away from the beach","8.6","Excellent"
"1536677626-889","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Finlanka Guest","Finlanka GuestB&B","B&B","B&B","$55","Galle, 4.8 miles to City center","8.1","Very good"
"1536677626-956","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Muhsin Villa","Muhsin Villa2 stars - B&B‎Top ratedThis is the top rated 2-star hotel in Galle","2 stars - B&B‎Top ratedThis is the top rated 2-star hotel in Galle","2 stars - B&B‎Top ratedThis is the top rated 2-star hotel in Galle","$29","Galle, 0.2 miles away from the beach","8.2","Very good"
"1536677626-909","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Thambili House","Thambili House3 stars - Hotel","3 stars - Hotel","3 stars - Hotel","$194","Galle, 0.2 miles away from the beach","8.1","Very good"
"1536677626-857","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Number 48 Galle Fort","Number 48 Galle FortHotel","Hotel","Hotel","$152","Galle, 0.2 miles away from the beach","8.4","Very good"
"1536677626-873","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Casa Hikka","Casa HikkaHouse / Apartment","House / Apartment","House / Apartment","$22","Galle, 13.2 miles to City center","8.3","Very good"
"1536677626-893","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Small House Boutique Guest House","Small House Boutique Guest HouseHouse / Apartment","House / Apartment","House / Apartment","$70","Galle, 0.2 miles away from the beach","8.7","Excellent"
"1536677626-906","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Niyagama House","Niyagama HouseHotel","Hotel","Hotel","$110","Galle, 4.7 miles to City center","9.1","Excellent"
"1536677626-914","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Kahanda Kanda","Kahanda Kanda5 stars - Hotel","5 stars - Hotel","5 stars - Hotel","$187","Galle, 8.5 miles to City center","8.6","Excellent"
"1536677626-928","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Silva Rest Bed And Breakfast","Silva Rest Bed And BreakfastHotel","Hotel","Hotel","$20","Galle, 0.1 miles away from the beach","8.4","Very good"
