web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536679147-2658","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Tashka","TashkaHouse / Apartment","House / Apartment","House / Apartment","$12","Hambantota, 0.2 miles away from the beach","/","null"
"1536679147-2646","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Kasun Safari Village","Kasun Safari VillageHouse / Apartment","House / Apartment","House / Apartment","$35","Hambantota, 0.2 miles away from the beach","8.0","Very good"
"1536679147-2647","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Elephant Eye Safari  Yala","Elephant Eye Safari  YalaHotel","Hotel","Hotel","$57","Hambantota, 1.4 miles to City center","/","null"
"1536679147-2654","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ishaq Guest","Ishaq GuestHouse / Apartment","House / Apartment","House / Apartment","$36","Hambantota, 0.2 miles away from the beach","/","null"
"1536679147-2641","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Peacock Beach","Peacock Beach4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$82","Hambantota, 0.9 miles to City center","7.1","(130 reviews)"
"1536679147-2656","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Lagoon Inn","Lagoon InnHotel","Hotel","Hotel","$16","Hambantota, 7.5 miles to City center","/","null"
"1536679147-2649","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Safari","The Safari3 stars - Hotel","3 stars - Hotel","3 stars - Hotel","$59","Hambantota, 0.2 miles away from the beach","/","null"
"1536679147-2639","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Shangri-La's Hambantota Golf & Spa","Shangri-La's Hambantota Golf & Spa5 stars - Resort‎Top ratedThis is the top rated 5-star hotel in Hambantota","5 stars - Resort‎Top ratedThis is the top rated 5-star hotel in Hambantota","5 stars - Resort‎Top ratedThis is the top rated 5-star hotel in Hambantota","$200","Hambantota, 0.1 miles away from the beach","8.3","Very good"
"1536679147-2655","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Kamatha  & Restaurant","Kamatha  & RestaurantHotel","Hotel","Hotel","$49","Hambantota, 6.2 miles to City center","/","null"
"1536679147-2650","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=340&aGeoCode%5Blat%5D=6.1233&aGeoCode%5Blng%5D=81.117401&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Oasis Ayurveda Beach Resort","The Oasis Ayurveda Beach ResortResort","Resort","Resort","$52","Hambantota, 0.1 miles away from the beach","/","null"
