web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536679381-2787","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Asr","AsrHotel","Hotel","Hotel","$44","Jaffna, 1.1 miles to City center","/","null"
"1536679381-2829","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nallur Residence","Nallur ResidenceHouse / Apartment","House / Apartment","House / Apartment","$35","Jaffna, 1.7 miles to City center","/","null"
"1536679381-2794","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Pillaiyar Inn","Pillaiyar Inn1 star - Hotel","1 star - Hotel","1 star - Hotel","$34","Jaffna, 0.2 miles to City center","7.4","(24 reviews)"
"1536679381-2799","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Lakshmi Mahal Jaffna","Lakshmi Mahal JaffnaHouse / Apartment","House / Apartment","House / Apartment","$26","Jaffna, 0.2 miles to City center","/","null"
"1536679381-2802","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Jaffna Gm","Jaffna GmHotel","Hotel","Hotel","$25","Jaffna, 1.5 miles to City center","/","null"
"1536679381-2827","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Gran Lucky Inn","Gran Lucky InnPension","Pension","Pension","$15","Jaffna, 0.4 miles away from the beach","/","null"
"1536679381-2788","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Kais Guest House","Kais Guest HouseHouse / Apartment","House / Apartment","House / Apartment","$18","Jaffna, 1.9 miles to City center","8.0","Very good"
"1536679381-2780","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Gnanams","Gnanams1 star - Hotel","1 star - Hotel","1 star - Hotel","$43","Jaffna, 0.4 miles away from the beach","7.6","Good"
"1536679381-2781","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Cosy","CosyHotel","Hotel","Hotel","$21","Jaffna, 0.7 miles to City center","7.2","(51 reviews)"
"1536679381-2830","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=531822&aGeoCode%5Blat%5D=9.668333&aGeoCode%5Blng%5D=80.006393&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=53182203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Heritage Villa","Heritage VillaHouse / Apartment","House / Apartment","House / Apartment","$31","Jaffna, 0.0 miles to City center","/","null"
