web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536678209-1495","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Larns Villa","Larns VillaHotel","Hotel","Hotel","$27","Kalutara, 4.5 miles to City center","8.2","Very good"
"1536678209-1519","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Mahakumara White House","Mahakumara White HouseHotel","Hotel","Hotel","$43","Kalutara, 1.7 miles to City center","/","null"
"1536678209-1520","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Rohan Homestay","Rohan HomestayHouse / Apartment","House / Apartment","House / Apartment","$60","Kalutara, 0.2 miles away from the beach","/","null"
"1536678209-1493","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Avani Kalutara Resort","Avani Kalutara Resort4 stars - Resort","4 stars - Resort","4 stars - Resort","$66","Kalutara, 1.9 miles to City center","8.2","Very good"
"1536678209-1514","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Rock Face","Rock FaceHotel","Hotel","Hotel","$50","Kalutara, 15.0 miles to City center","/","null"
"1536678209-1524","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Jaan Holiday Home","Jaan Holiday HomeHouse / Apartment","House / Apartment","House / Apartment","$30","Kalutara, 0.2 miles away from the beach","/","null"
"1536678209-1489","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Anantara Kalutara Resort","Anantara Kalutara ResortHotel","Hotel","Hotel","$175","Kalutara, 1.7 miles to City center","8.3","Very good"
"1536678209-1536","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ritz Gate Kalutara","Ritz Gate KalutaraHotel","Hotel","Hotel","$21","Kalutara, 0.3 miles away from the beach","/","null"
"1536678209-1531","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sisiliyana Stone Resort","Sisiliyana Stone ResortHotel","Hotel","Hotel","$38","Kalutara, 13.3 miles to City center","/","null"
"1536678209-1512","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Himakara","HimakaraHotel","Hotel","Hotel","$24","Kalutara, 0.2 miles away from the beach","/","null"
"1536678209-1530","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Hockeys Place","Hockeys PlaceHotel","Hotel","Hotel","$25","Kalutara, 0.2 miles away from the beach","/","null"
"1536678209-1523","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Marigold Beach House","Marigold Beach House1 star - Serviced apartment","1 star - Serviced apartment","1 star - Serviced apartment","$28","Kalutara, 1.8 miles to City center","/","null"
"1536678209-1492","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Green Shadows Beach","Green Shadows BeachB&B","B&B","B&B","$22","Kalutara, 2.3 miles to City center","7.1","(80 reviews)"
"1536678209-1533","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Garden Beach  Kalutara","Garden Beach  KalutaraHotel","Hotel","Hotel","$23","Kalutara, 0.3 miles away from the beach","/","null"
"1536678209-1503","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Club Waskaduwa Beach Resort & Spa","Club Waskaduwa Beach Resort & SpaResort‎New","Resort‎New","Resort‎New","$110","Kalutara, 2.1 miles to City center","8.2","Very good"
"1536678209-1491","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Royal Palms Beach","Royal Palms Beach4 stars - Hotel‎Top ratedThis is the top rated 4-star hotel in Kalutara","4 stars - Hotel‎Top ratedThis is the top rated 4-star hotel in Kalutara","4 stars - Hotel‎Top ratedThis is the top rated 4-star hotel in Kalutara","$96","Kalutara, 1.6 miles to City center","8.5","Excellent"
"1536678209-1499","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","River Side Inn Fuji","River Side Inn FujiHotel","Hotel","Hotel","$55","Kalutara, 11.7 miles to City center","8.5","Excellent"
"1536678209-1490","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Tangerine Beach","Tangerine Beach4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$42","Kalutara, 1.4 miles to City center","8.1","Very good"
"1536678209-1525","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ciciliyana","CiciliyanaHotel","Hotel","Hotel","$30","Kalutara, 2.1 miles to City center","/","null"
"1536678209-1513","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Thebuwana Bungalow","Thebuwana BungalowHouse / Apartment","House / Apartment","House / Apartment","$38","Kalutara, 7.6 miles to City center","/","null"
"1536678209-1518","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Feel Homestay","Feel HomestayHouse / Apartment","House / Apartment","House / Apartment","$36","Kalutara, 1.9 miles to City center","/","null"
"1536678209-1527","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Petters Beach Inn","Petters Beach InnHotel","Hotel","Hotel","$30","Kalutara, 1.1 miles to City center","/","null"
"1536678209-1496","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Turyaa Kalutara","Turyaa Kalutara4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$58","Kalutara, 2.9 miles to City center","8.1","Very good"
"1536678209-1508","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=351&aGeoCode%5Blat%5D=6.5894&aGeoCode%5Blng%5D=79.957298&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35103&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Serene Residence","Serene ResidenceServiced apartment","Serviced apartment","Serviced apartment","$14","Kalutara, 1.9 miles to City center","8.3","Very good"
