web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536679687-3662","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Italiano Restaurants","Italiano RestaurantsHotel","Hotel","Hotel","$19","Matale, 2.9 miles to City center","/","null"
"1536679687-3670","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Mmb Villa","Mmb VillaHouse / Apartment","House / Apartment","House / Apartment","$140","Matale, 0.9 miles to City center","/","null"
"1536679687-3656","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Arangala Bungalow","Arangala BungalowHotel","Hotel","Hotel","$19","Matale, 15.4 miles to City center","/","null"
"1536679687-3672","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Knuckles Hideout","Knuckles HideoutHotel","Hotel","Hotel","$105","Matale, 11.2 miles to City center","/","null"
"1536679687-3650","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Dads Holiday Home","Dads Holiday HomeHouse / Apartment","House / Apartment","House / Apartment","$48","Matale, 1.2 miles to City center","8.4","Very good"
"1536679687-3653","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sanasuma Holiday Home","Sanasuma Holiday HomeHouse / Apartment","House / Apartment","House / Apartment","$15","Matale, 1.8 miles to City center","8.3","Very good"
"1536679687-3652","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Paradise Forest Garden","Paradise Forest GardenHouse / Apartment","House / Apartment","House / Apartment","$44","Matale, 5.4 miles to City center","8.4","Very good"
"1536679687-3657","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Lak Inn","Lak InnPension","Pension","Pension","$17","Matale, 3.0 miles to City center","/","null"
"1536679687-3666","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Kethaki Holiday Resort","Kethaki Holiday ResortHotel","Hotel","Hotel","$20","Matale, 2.4 miles to City center","/","null"
"1536679687-3673","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ranpatha Guest House","Ranpatha Guest HousePension","Pension","Pension","$10","Matale, 1.9 miles to City center","/","null"
"1536679687-3654","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Grand Mountain","The Grand MountainHouse / Apartment","House / Apartment","House / Apartment","$110","Matale, 0.9 miles to City center","/","null"
"1536679687-3663","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","A&B Events","A&B EventsHotel","Hotel","Hotel","$14","Matale, 1.3 miles to City center","/","null"
"1536679687-3668","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Riverstone Inn","Riverstone InnHotel","Hotel","Hotel","$23","Matale, 1.4 miles to City center","/","null"
"1536679687-3665","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Highway Holiday Resort","Highway Holiday ResortResort","Resort","Resort","$26","Matale, 1.7 miles to City center","/","null"
"1536679687-3669","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sanasuma Niwasa","Sanasuma NiwasaHotel","Hotel","Hotel","$12","Matale, 1.7 miles to City center","/","null"
"1536679687-3659","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Walawwa Guest House","Walawwa Guest HousePension","Pension","Pension","$17","Matale, 0.7 miles to City center","/","null"
"1536679687-3651","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=307&aGeoCode%5Blat%5D=7.467817&aGeoCode%5Blng%5D=80.624153&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30703&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Strathisla Guest House","Strathisla Guest HouseHotel","Hotel","Hotel","$94","Matale, 2.4 miles to City center","8.5","Excellent"
