web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536677536-813","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Il~mio","Il~mioHotel","Hotel","Hotel","$13","Matara, 0.3 miles away from the beach","/","null"
"1536677536-743","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Villa White Stallion","Villa White StallionHouse / Apartment","House / Apartment","House / Apartment","$66","Matara, 0.6 miles to City center","/","null"
"1536677536-654","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Dream Palace Family Guest House","Dream Palace Family Guest HousePension","Pension","Pension","$20","Matara, 0.1 miles away from the beach","8.4","Very good"
"1536677536-638","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Villa Tissa Beach Resort","Villa Tissa Beach Resort3 stars - Resort","3 stars - Resort","3 stars - Resort","$19","Matara, 0.3 miles away from the beach","8.0","Very good"
"1536677536-815","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sanmark","Sanmark Hotel‎New","Hotel‎New","Hotel‎New","$34","Matara, 11.1 miles to City center","/","null"
"1536677536-767","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Step Inn","Step InnHotel","Hotel","Hotel","$30","Matara, 0.6 miles to City center","/","null"
"1536677536-685","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Pinki Resort","Pinki ResortResort","Resort","Resort","$14","Matara, 0.1 miles away from the beach","7.6","Good"
"1536677536-754","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sea Sand Villa","Sea Sand VillaHouse / Apartment","House / Apartment","House / Apartment","$18","Matara, 2.9 miles to City center","/","null"
"1536677536-680","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Secret Bay","Secret BayHouse / Apartment","House / Apartment","House / Apartment","$17","Matara, 2.9 miles to City center","7.4","(77 reviews)"
"1536677536-640","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","My Hostels Mirissa","My Hostels MirissaHostel","Hostel","Hostel","$23","Matara, 0.3 miles away from the beach","8.3","Very good"
"1536677536-682","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Mirissa Regent","Mirissa RegentHotel","Hotel","Hotel","$20","Matara, 0.3 miles away from the beach","7.9","Good"
"1536677536-615","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Handun Villas","Handun VillasHouse / Apartment","House / Apartment","House / Apartment","$49","Matara, 0.1 miles away from the beach","8.1","Very good"
"1536677536-662","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Relax Duo","Relax DuoB&B","B&B","B&B","$35","Matara, right by the beach","8.5","Excellent"
"1536677536-679","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","I And I Rest","I And I RestHotel","Hotel","Hotel","$14","Matara, 0.1 miles away from the beach","7.9","Good"
