web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536678003-1076","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Arie Lagoon","Arie LagoonHotel","Hotel","Hotel","$90","Negombo, 3.0 miles to City center","8.0","Very good"
"1536678003-1443","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","A&B Resort Negombo","A&B Resort Negombo	2 stars - Resort","2 stars - Resort","2 stars - Resort","$15","Negombo, 0.1 miles away from the beach","/","null"
"1536678003-1099","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Jetwing Sea","Jetwing Sea4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$102","Negombo, 0.4 miles away from the beach","7.9","Good"
"1536678003-1166","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Serendib Villa","Serendib VillaB&B","B&B","B&B","$45","Negombo, 0.4 miles away from the beach","8.2","Very good"
"1536678003-1110","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ronny Cottage","Ronny Cottage 3 stars - Serviced apartment","3 stars - Serviced apartment","3 stars - Serviced apartment","$43","Negombo, 0.4 miles away from the beach","8.1","Very good"
"1536678003-1074","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Camelot Beach","Camelot Beach3 stars - Hotel","3 stars - Hotel","3 stars - Hotel","$69","Negombo, right by the beach","7.6","Good"
"1536678003-1336","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Blue Beach Guesthouse","The Blue Beach GuesthousePension","Pension","Pension","$25","Negombo, 0.1 miles away from the beach","/","null"
"1536678003-1312","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Bernies Inn","Bernies InnPension","Pension","Pension","$33","Negombo, 0.1 miles away from the beach","/","null"
"1536678003-1268","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Waterland","WaterlandHotel","Hotel","Hotel","$135","Negombo, 4.4 miles to City center","/","null"
"1536678003-1404","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=355&aGeoCode%5Blat%5D=7.209337&aGeoCode%5Blng%5D=79.834061&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Visal Homestay","Visal HomestayHotel","Hotel","Hotel","$15","Negombo, 0.3 miles away from the beach","/","null"
