web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536678578-1788","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sumihiri Villa","Sumihiri VillaHouse / Apartment","House / Apartment","House / Apartment","$20","Nuwara Eliya, 1.9 miles to City center","8.0","Very good"
"1536678578-1837","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sapugolla Family Resort","Sapugolla Family ResortResort","Resort","Resort","$33","Nuwara Eliya, 9.6 miles to City center","/","null"
"1536678578-1810","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Eees Cart Nuwara Eliya Resort","Eees Cart Nuwara Eliya Resort2 stars - Hotel","2 stars - Hotel","2 stars - Hotel","$39","Nuwara Eliya, 1.7 miles to City center","7.7","Good"
"1536678578-1863","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sandalu Knuckles","Sandalu KnucklesHouse / Apartment","House / Apartment","House / Apartment","$70","Nuwara Eliya, 9.6 miles to City center","/","null"
"1536678578-1764","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Ragith Villa","Ragith VillaPension","Pension","Pension","$18","Nuwara Eliya, 1.6 miles to City center","7.5","Good"
"1536678578-1679","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Serenus Boutique Villa","Serenus Boutique VillaHotel","Hotel","Hotel","$118","Nuwara Eliya, 1.2 miles to City center","8.2","Very good"
"1536678578-1875","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Akiko Rest","Akiko RestPension","Pension","Pension","$27","Nuwara Eliya, 3.2 miles to City center","/","null"
"1536678578-2001","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Black Wood Villa","Black Wood VillaHouse / Apartment","House / Apartment","House / Apartment","$36","Nuwara Eliya, 9.8 miles to City center","/","null"
"1536678578-1745","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Cocoon Hills","Cocoon HillsHotel","Hotel","Hotel","$73","Nuwara Eliya, 1.3 miles to City center","7.5","Good"
"1536678578-1692","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","White House Guest House","White House Guest HousePension","Pension","Pension","$12","Nuwara Eliya, 20.3 miles to City center","7.3","(137 reviews)"
"1536678578-2059","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Riseans White Palace","Riseans White Palace3 stars - Hotel","3 stars - Hotel","3 stars - Hotel","$31","Nuwara Eliya, 1.4 miles to City center","/","null"
"1536678578-1842","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Vinish Inn","Vinish InnPension","Pension","Pension","$19","Nuwara Eliya, 20.4 miles to City center","/","null"
"1536678578-1674","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Hill Safari Eco Lodge","Hill Safari Eco LodgePension","Pension","Pension","$42","Nuwara Eliya, 13.0 miles to City center","8.0","Very good"
"1536678578-2075","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Serenity Hill Bungalow","Serenity Hill BungalowHotel","Hotel","Hotel","$36","Nuwara Eliya, 1.2 miles to City center","/","null"
"1536678578-1723","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=308&aGeoCode%5Blat%5D=6.970759&aGeoCode%5Blng%5D=80.78318&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Royal Cocoon","Royal CocoonHotel","Hotel","Hotel","$92","Nuwara Eliya, 0.9 miles to City center","7.7","Good"
