web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536677785-999","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Lake Park","Lake Park1 star - Hotel","1 star - Hotel","1 star - Hotel","$15","Polonnaruwa, 1.9 miles to City center","7.8","Good"
"1536677785-1021","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Pri Villa","Pri VillaHouse / Apartment","House / Apartment","House / Apartment","$13","Polonnaruwa, 8.6 miles to City center","/","null"
"1536677785-1008","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Singha Guest House","Singha Guest HousePension","Pension","Pension","$17","Polonnaruwa, 1.0 miles to City center","8.2","Very good"
"1536677785-995","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Samagi Villa Safari & Cottage","Samagi Villa Safari & CottageHotel","Hotel","Hotel","$30","Polonnaruwa, 0.2 miles to City center","8.2","Very good"
"1536677785-1020","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Gadja Safari Bungalow","Gadja Safari BungalowHouse / Apartment","House / Apartment","House / Apartment","$35","Polonnaruwa, 20.6 miles to City center","/","null"
"1536677785-1025","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Forest Eco View","Forest Eco ViewHouse / Apartment","House / Apartment","House / Apartment","$20","Polonnaruwa, 0.7 miles to City center","/","null"
"1536677785-1029","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Jaya Sri","Jaya SriHotel","Hotel","Hotel","$17","Polonnaruwa, 0.7 miles to City center","/","null"
"1536677785-988","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Risenlak Holiday Resort","Risenlak Holiday ResortHouse / Apartment","House / Apartment","House / Apartment","$23","Polonnaruwa, 0.6 miles to City center","8.6","Excellent"
"1536677785-1047","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Vgn Homestay","Vgn HomestayHotel","Hotel","Hotel","$16","Polonnaruwa, 2.2 miles to City center","/","null"
"1536677785-1031","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=313&aGeoCode%5Blat%5D=7.932857&aGeoCode%5Blng%5D=81.008087&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=31303&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sudu Neluma Home Stay","Sudu Neluma Home StayHouse / Apartment‎New","House / Apartment‎New","House / Apartment‎New","$15","Polonnaruwa, 0.7 miles to City center","/","null"
