web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536678421-1658","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Mahoora Tented Safari Camp - Sinharaja","Mahoora Tented Safari Camp - SinharajaHotel","Hotel","Hotel","$1,874","Ratnapura, 19.4 miles to City center","/","null"
"1536678421-1649","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Brookline Safari Resort","Brookline Safari ResortResort","Resort","Resort","$10","Ratnapura, 36.5 miles to City center","/","null"
"1536678421-1587","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Gem Land","Gem LandServiced apartment","Serviced apartment","Serviced apartment","$15","Ratnapura, 1.4 miles to City center","8.0","Very good"
"1536678421-1614","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Birds Paradise Inn","Birds Paradise InnHouse / Apartment","House / Apartment","House / Apartment","$44","Ratnapura, 37.0 miles to City center","8.0","Very good"
"1536678421-1588","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Deniyaya National Motel Sinharaja","Deniyaya National Motel SinharajaHotel","Hotel","Hotel","$11","Ratnapura, 26.7 miles to City center","8.1","Very good"
"1536678421-1617","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","White Elephant","White Elephant1 star - Hotel","1 star - Hotel","1 star - Hotel","$22","Ratnapura, 13.4 miles to City center","7.4","(51 reviews)"
"1536678421-1613","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Wild Trails Udawalawe","Wild Trails UdawalaweHotel","Hotel","Hotel","$68","Ratnapura, 38.3 miles to City center","7.7","Good"
"1536678421-1629","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Graten Tea Garden","Graten Tea GardenHouse / Apartment","House / Apartment","House / Apartment","$25","Ratnapura, 18.7 miles to City center","/","null"
"1536678421-1620","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Dulsara Holiday Resort","Dulsara Holiday ResortResort","Resort","Resort","$159","Ratnapura, 8.0 miles to City center","/","null"
"1536678421-1643","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Deutschland Safari Lodge","Deutschland Safari LodgeHotel","Hotel","Hotel","$32","Ratnapura, 35.5 miles to City center","/","null"
"1536678421-1656","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Rainforest Green Mount Villa","Rainforest Green Mount VillaHouse / Apartment","House / Apartment","House / Apartment","$17","Ratnapura, 24.7 miles to City center","/","null"
"1536678421-1637","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Rainy Grove Cottage Face Sinharaja Forest","Rainy Grove Cottage Face Sinharaja ForestHouse / Apartment","House / Apartment","House / Apartment","$162","Ratnapura, 23.4 miles to City center","/","null"
"1536678421-1608","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=335&aGeoCode%5Blat%5D=6.693124&aGeoCode%5Blng%5D=80.386436&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33503&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Owinrich Resort","Owinrich ResortHotel","Hotel","Hotel","$46","Ratnapura, 21.4 miles to City center","8.2","Very good"
