web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536679745-3676","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Rainforest Edge","Rainforest EdgePension","Pension","Pension","$98","Kalutara, 8.4 miles to Sinharaja Forest Edge","8.1","Very good"
"1536679745-3688","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Prasad Villa","Prasad VillaHouse / Apartment","House / Apartment","House / Apartment","$16","Embilipitiya, 3.1 miles to Sinharaja Forest Edge","/","null"
"1536679745-3689","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Rainforest Ecolodge","The Rainforest EcolodgeHotel","Hotel","Hotel","$243","Ratnapura, 7.7 miles to Sinharaja Forest Edge","/","null"
"1536679745-3675","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Deniyaya National Motel Sinharaja","Deniyaya National Motel SinharajaHotel","Hotel","Hotel","$11","Ratnapura, 5.0 miles to Sinharaja Forest Edge","8.1","Very good"
"1536679745-3679","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Deniyaya Guest House","Deniyaya Guest HousePension","Pension","Pension","$10","Ratnapura, 5.3 miles to Sinharaja Forest Edge","8.4","Very good"
"1536679745-3694","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Birds Paradise","Birds ParadiseHotel","Hotel","Hotel","$97","Ratnapura, 8.3 miles to Sinharaja Forest Edge","/","null"
"1536679745-3677","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Rainforest Lodge","Rainforest LodgeHotel","Hotel","Hotel","$31","Ratnapura, 4.3 miles to Sinharaja Forest Edge","7.8","Good"
"1536679745-3690","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Lavenro  & Resort","Lavenro  & ResortResort","Resort","Resort","$28","Ratnapura, 4.3 miles to Sinharaja Forest Edge","/","null"
"1536679745-3682","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Vini Villa","Vini VillaHouse / Apartment","House / Apartment","House / Apartment","$16","Ratnapura, 0.1 miles to Sinharaja Forest Edge","8.3","Very good"
"1536679745-3686","https://www.trivago.com/?aHotelTestClassifier=&iIncludeAll=0&aPartner=&aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=6.357845&aGeoCode%5Blng%5D=80.488945&iGeoDistanceItem=3804836&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=380483602&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Jansens Bungalow Sinharaja","Jansens Bungalow SinharajaHouse / Apartment","House / Apartment","House / Apartment","$57","Galle, 3.1 miles to Sinharaja Forest Edge","/","null"
