web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536679505-2904","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Cantaloupe Aqua","Cantaloupe Aqua4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$76","Galle, Southern Province, Sri Lanka","8.0","Very good"
"1536679505-2854","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Galadari Hotel","Galadari Hotel5 stars - Hotel","5 stars - Hotel","5 stars - Hotel","$101","Colombo, Western Province, Sri Lanka","7.2","(269 reviews)"
"1536679505-3197","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Magic Mansion","Magic MansionHouse / Apartment","House / Apartment","House / Apartment","$32","Colombo, Western Province, Sri Lanka","8.2","Very good"
"1536679505-3009","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","D Plus B&b Negombo","D Plus B&b NegomboHouse / Apartment","House / Apartment","House / Apartment","$36","Negombo, Western Province, Sri Lanka","8.7","Excellent"
"1536679505-2951","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Khalid's","Khalid'sB&B","B&B","B&B","$63","Galle, Southern Province, Sri Lanka","8.6","Excellent"
"1536679505-2874","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Anarva Mount Lavinia","Anarva Mount Lavinia4 stars - Hotel‎Top ratedThis is the top rated 4-star hotel in Mount Lavinia","4 stars - Hotel‎Top ratedThis is the top rated 4-star hotel in Mount Lavinia","4 stars - Hotel‎Top ratedThis is the top rated 4-star hotel in Mount Lavinia","$46","Mount Lavinia, Western Province, Sri Lanka","8.0","Very good"
"1536679505-3159","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sunray","Sunray4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$41","Kandy, Central Province, Sri Lanka","7.3","(467 reviews)"
"1536679505-2915","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Golden Crown","The Golden CrownHouse / Apartment","House / Apartment","House / Apartment","$122","Kandy, Central Province, Sri Lanka","8.5","Excellent"
"1536679505-3019","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sun Up","Sun UpPension","Pension","Pension","$11","Negombo, Western Province, Sri Lanka","6.0","(171 reviews)"
"1536679505-2950","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=304&aGeoCode%5Blat%5D=7.873054&aGeoCode%5Blng%5D=80.771797&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30403&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Comfort 15 Hotel","Comfort 15 Hotel3 stars - Hotel","3 stars - Hotel","3 stars - Hotel","$57","Colombo, Western Province, Sri Lanka","7.8","Good"
