web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536678342-1583","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Villa Rainbow","Villa RainbowHouse / Apartment","House / Apartment","House / Apartment","$11","Trincomalee, 0.3 miles away from the beach","8.0","Very good"
"1536678342-1555","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Anilana Passekudah","Anilana PassekudahHotel","Hotel","Hotel","$59","Trincomalee, 0.1 miles away from the beach","8.2","Very good"
"1536678342-1541","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Blue Whale Nilaveli","Blue Whale NilaveliHouse / Apartment","House / Apartment","House / Apartment","$20","Trincomalee, 0.1 miles away from the beach","7.8","Good"
"1536678342-1576","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Bella Nilaveli Beach","Bella Nilaveli BeachHotel","Hotel","Hotel","$30","Trincomalee, right by the beach","8.2","Very good"
"1536678342-1581","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Dutch Bay Beach Cottages","Dutch Bay Beach CottagesHouse / Apartment","House / Apartment","House / Apartment","$28","Trincomalee, right by the beach","8.0","Very good"
"1536678342-1573","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Trinco Hemach Beach","Trinco Hemach BeachHouse / Apartment","House / Apartment","House / Apartment","$25","Trincomalee, 0.1 miles away from the beach","8.0","Very good"
"1536678342-1564","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Blue Waves","Blue WavesHotel","Hotel","Hotel","$27","Trincomalee, 0.2 miles away from the beach","7.9","Good"
"1536678342-1551","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Chaaya Blu","Chaaya Blu4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$130","Trincomalee, 0.1 miles away from the beach","8.3","Very good"
"1536678342-1577","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Green Garden","Green GardenHotel","Hotel","Hotel","$25","Trincomalee, 1.7 miles to City center","8.4","Very good"
"1536678342-1542","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Anantamaa","Anantamaa3 stars - Hotel","3 stars - Hotel","3 stars - Hotel","$55","Trincomalee, 0.1 miles away from the beach","8.2","Very good"
"1536678342-1546","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sunrise By Jetwing","Sunrise By JetwingHouse / Apartment","House / Apartment","House / Apartment","$97","Trincomalee, 0.1 miles away from the beach","8.3","Very good"
"1536678342-1565","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Pigeon Island","Pigeon Island3 stars - Hotel","3 stars - Hotel","3 stars - Hotel","$64","Trincomalee, 0.1 miles away from the beach","7.4","(255 reviews)"
"1536678342-1579","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Shivas","ShivasResort","Resort","Resort","$15","Trincomalee, right by the beach","8.4","Very good"
"1536678342-1537","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nilaveli Beach Hôtel","Nilaveli Beach Hôtel3 stars - Hotel‎Top ratedThis is the top rated 3-star hotel in Trincomalee","3 stars - Hotel‎Top ratedThis is the top rated 3-star hotel in Trincomalee","3 stars - Hotel‎Top ratedThis is the top rated 3-star hotel in Trincomalee","$9","Trincomalee, right by the beach","8.4","Very good"
"1536678342-1554","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Seaway","SeawayHotel","Hotel","Hotel","$54","Trincomalee, right by the beach","7.6","Good"
"1536678342-1574","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nilaveli Hybrid Holiday","Nilaveli Hybrid HolidayHouse / Apartment","House / Apartment","House / Apartment","$15","Trincomalee, 9.0 miles to City center","8.0","Very good"
"1536678342-1570","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nagenahira Beach Villa","Nagenahira Beach VillaHotel","Hotel","Hotel","$45","Trincomalee, 0.1 miles away from the beach","8.4","Very good"
"1536678342-1575","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Aqua Inns","Aqua Inns1 star - Hotel","1 star - Hotel","1 star - Hotel","$27","Trincomalee, 0.4 miles away from the beach","6.8","(274 reviews)"
"1536678342-1549","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Family Inn","Family InnPension","Pension","Pension","$15","Trincomalee, 2.1 miles to City center","7.5","Good"
"1536678342-1557","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nilaveli Beach Resort","Nilaveli Beach ResortResort","Resort","Resort","$96","Trincomalee, right by the beach","8.7","Excellent"
"1536678342-1553","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=328&aGeoCode%5Blat%5D=8.5766&aGeoCode%5Blng%5D=81.230904&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=32803&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Jungle Beach Resort","Jungle Beach ResortResort","Resort","Resort","$137","Trincomalee, 15.0 miles to City center","9.0","Excellent"
