web-scraper-order,web-scraper-start-url,name,features,review,location
"1534404587-137","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","New Old Dutchhouse","Free WiFiLocation8.1","",""
"1534404587-178","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Fort Inn Guest House","","","Galle, 0.2 miles away from the beach"
"1534404587-182","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Arabella on Boossa Villa","","","Galle, 3.8 miles to City center"
"1534404587-175","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Good Vibes Villas","","","Galle, 4.9 miles to City center"
"1534404587-170","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Fort Fifty Inn","","","Galle, 0.1 miles away from the beach"
"1534404587-171","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Beatrice House","","","Galle, 0.3 miles away from the beach"
"1534404587-189","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Wirdana Spa & Villas","","","Galle, 4.0 miles to City center"
"1534404587-169","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Peace Garden Villa","","","Galle, 0.1 miles away from the beach"
"1534404587-180","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Bay Watch","","","Galle, 0.1 miles away from the beach"
"1534404587-147","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Kalan Villa - Galle","","7.6Good (68 reviews)",""
